title,body,image,link
"Call center","Servicios integrales de call center a la medida de su necesidad.","common/quad/callcenter.jpg","/es/callcenter/index.html"
"Satelital","Servicios satelitales de cobertura global.","common/quad/arsat.jpg","/es/satelital/index.html"
"Radios on-line","Su radio a todo el mundo, a trav&eacute;s de internet.","common/quad/radio.jpg","/es/streaming/audio.html"
